Paper_ID,Included,Observation_ID ,Author,Year,Title,Journal,DOI,URL,Language,Database,Latitude,Longitude,Country,Taxa_level,Taxa_name,Order,Family,Genus ,Binomial,Life_history_stage,Experimental_year_start,Experimental_year_end,Sampling_method,Sampling_intensity_unit,Sampling_intensity,Biodiversity_metric,Unit,IUCN_threat_category_1,IUCN_threat_category_2,IUCN_threat_category_3,Treatment,Treatment_quantity,Treatment_quantity_unit,Control,Control_quantity,Control_quantity_unit,Extracted_from,Evidence_type,Treatment_N,Treatment_mean,Treatment_error,Treatment_error_type,Control_N,Control_mean,Control_error,Control_error_type,Contributor_name,Search_date,Notes
Zheng_2011,Y,Zheng_2011_99,"Zheng, Xialin and Cheng, Wenjie and Wang, Xiaoping and Lei, Chaoliang",2011,"Enhancement of supercooling capacity and survival by cold acclimation, rapid cold and heat hardening in <i>Spodoptera exigua</i>",CRYOBIOLOGY,10.1016/j.cryobiol.2011.07.103,NA,English,WOS,30,114,China,species ,Spodoptera exigua ,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-12,C,No extreme cold,26,C,,,90,0,0,se,90,100,0,se,Emily Wenban-Smith,,
Zheng_2011,Y,Zheng_2011_100,"Zheng, Xialin and Cheng, Wenjie and Wang, Xiaoping and Lei, Chaoliang",2011,"Enhancement of supercooling capacity and survival by cold acclimation, rapid cold and heat hardening in <i>Spodoptera exigua</i>",CRYOBIOLOGY,10.1016/j.cryobiol.2011.07.104,NA,English,WOS,30,114,China,species,Spodoptera exigua ,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-12,C,No extreme cold,26,C,,,90,0,0,se,90,100,0,se,Emily Wenban-Smith,,
Zheng_2011,Y,Zheng_2011_101,"Zheng, Xialin and Cheng, Wenjie and Wang, Xiaoping and Lei, Chaoliang",2011,"Enhancement of supercooling capacity and survival by cold acclimation, rapid cold and heat hardening in <i>Spodoptera exigua</i>",CRYOBIOLOGY,10.1016/j.cryobiol.2011.07.105,NA,English,WOS,30,114,China,species ,Spodoptera exigua ,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-12,C,No extreme cold,26,C,,,90,0,0,se,90,100,0,se,Emily Wenban-Smith,,
Zheng_2011,Y,Zheng_2011_102,"Zheng, Xialin and Cheng, Wenjie and Wang, Xiaoping and Lei, Chaoliang",2011,"Enhancement of supercooling capacity and survival by cold acclimation, rapid cold and heat hardening in <i>Spodoptera exigua</i>",CRYOBIOLOGY,10.1016/j.cryobiol.2011.07.106,NA,English,WOS,30,114,China,species,Spodoptera exigua ,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-12,C,No extreme cold,26,C,,,90,0,0,se,90,100,0,se,Emily Wenban-Smith,,
Klok_1998,Y,Klok_1998_1,"Klok, C. Jaco and Chown, Steven L.",1998,"Interactions between desiccation resistance, host-plant contact and the thermal biology of a leaf-dwelling sub-antarctic caterpillar, Embryonopsis halticella (Lepidoptera: Yponomeutidae)",Journal of Insect Physiology,10.1016/S0022-1910(98)00052-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031849185&doi=10.1016%2fS0022-1910%2898%2900052-3&partnerID=40&md5=60f339a9191bf1efd4920f08174c674e,English,Scopus,-48,37,Prince Edward islands,species,Embryonopsis halticella,Lepidoptera,Yponomeutidae,Embryonopsis,Embryonopsis halticella,larva,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-11.5,C,No extreme cold,2,C,,C,10,100,0,sd,10,100,0,sd,Emily Wenban-Smith,,
Klok_1998,Y,Klok_1998_2,"Klok, C. Jaco and Chown, Steven L.",1998,"Interactions between desiccation resistance, host-plant contact and the thermal biology of a leaf-dwelling sub-antarctic caterpillar, Embryonopsis halticella (Lepidoptera: Yponomeutidae)",Journal of Insect Physiology,10.1016/S0022-1910(98)00052-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031849185&doi=10.1016%2fS0022-1910%2898%2900052-3&partnerID=40&md5=60f339a9191bf1efd4920f08174c674e,English,Scopus,-48,37,Canada,species,Embryonopsis halticella,Lepidoptera,Yponomeutidae,Embryonopsis,Embryonopsis halticella,larva,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-14,C,No extreme cold,2,C,,C,10,90,0,sd,10,100,0,sd,Emily Wenban-Smith,,
Klok_1998,Y,Klok_1998_3,"Klok, C. Jaco and Chown, Steven L.",1998,"Interactions between desiccation resistance, host-plant contact and the thermal biology of a leaf-dwelling sub-antarctic caterpillar, Embryonopsis halticella (Lepidoptera: Yponomeutidae)",Journal of Insect Physiology,10.1016/S0022-1910(98)00052-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031849185&doi=10.1016%2fS0022-1910%2898%2900052-3&partnerID=40&md5=60f339a9191bf1efd4920f08174c674e,English,Scopus,-48,37,Canada,species,Embryonopsis halticella,Lepidoptera,Yponomeutidae,Embryonopsis,Embryonopsis halticella,larva,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-15,C,No extreme cold,2,C,,C,10,90,0,sd,10,100,0,sd,Emily Wenban-Smith,,
Klok_1998,Y,Klok_1998_4,"Klok, C. Jaco and Chown, Steven L.",1998,"Interactions between desiccation resistance, host-plant contact and the thermal biology of a leaf-dwelling sub-antarctic caterpillar, Embryonopsis halticella (Lepidoptera: Yponomeutidae)",Journal of Insect Physiology,10.1016/S0022-1910(98)00052-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031849185&doi=10.1016%2fS0022-1910%2898%2900052-3&partnerID=40&md5=60f339a9191bf1efd4920f08174c674e,English,Scopus,-48,37,Canada,species,Embryonopsis halticella,Lepidoptera,Yponomeutidae,Embryonopsis,Embryonopsis halticella,larva,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-16,C,No extreme cold,2,C,,C,10,90,0,sd,10,100,0,sd,Emily Wenban-Smith,,
Klok_1998,Y,Klok_1998_5,"Klok, C. Jaco and Chown, Steven L.",1998,"Interactions between desiccation resistance, host-plant contact and the thermal biology of a leaf-dwelling sub-antarctic caterpillar, Embryonopsis halticella (Lepidoptera: Yponomeutidae)",Journal of Insect Physiology,10.1016/S0022-1910(98)00052-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031849185&doi=10.1016%2fS0022-1910%2898%2900052-3&partnerID=40&md5=60f339a9191bf1efd4920f08174c674e,English,Scopus,-48,37,Canada,species,Embryonopsis halticella,Lepidoptera,Yponomeutidae,Embryonopsis,Embryonopsis halticella,larva,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-17,C,No extreme cold,2,C,,C,10,60,0,sd,10,100,0,sd,Emily Wenban-Smith,,
Klok_1998,Y,Klok_1998_6,"Klok, C. Jaco and Chown, Steven L.",1998,"Interactions between desiccation resistance, host-plant contact and the thermal biology of a leaf-dwelling sub-antarctic caterpillar, Embryonopsis halticella (Lepidoptera: Yponomeutidae)",Journal of Insect Physiology,10.1016/S0022-1910(98)00052-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031849185&doi=10.1016%2fS0022-1910%2898%2900052-3&partnerID=40&md5=60f339a9191bf1efd4920f08174c674e,English,Scopus,-48,37,Canada,species,Embryonopsis halticella,Lepidoptera,Yponomeutidae,Embryonopsis,Embryonopsis halticella,larva,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-18,C,No extreme cold,2,C,,C,10,60,0,sd,10,100,0,sd,Emily Wenban-Smith,,
